Draft,Owner,Fact #,Category,Fact
Auction,Carson,1,Weekly high,"Scored 186.86 in Week 12, the team’s best output across all 18 weeks. It was the 2nd-highest team-week in the league."
Auction,Carson,2,Weekly low,Bottomed out at 94.30 points in Week 13.
Auction,Carson,3,Biggest win,The biggest win was a 66.10-point beating of Reyes in Week 12 (186.86–120.76).
Auction,Carson,4,Worst loss,The worst loss was by 30.70 points to Kyle in Week 10 (103.72–134.42).
Auction,Carson,5,Season streak,"Won 5 straight from Week 11 through Week 15, the team’s longest streak of the season."
Auction,Carson,6,Rivalry,Has won 3 straight head-to-head meetings against Dallin; the latest was in Week 11 of 2025.
Auction,Carson,7,Career context,The 2025 regular-season win total ranked as the best across 9 recorded seasons in this draft format.
Auction,Carson,8,Lineup slot,"The WR2 slot produced 293.2 starter points, ranking 1st among the 12 teams in the league."
Auction,Carson,9,Draft outcome,Malik Nabers cost $50 but supplied 57.1 starter points across 4 starts and was last observed in Week 4.
Auction,Carson,10,Lineup management,"Converted 88.1% of the optimal lineup’s points, ranking 4th in the league; the worst start/sit miss was 54.6 points in Week 5."
Auction,Carson,11,Schedule luck,"The actual record finished about 1.9 more wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Carson,12,Roster activity,Used 33 different players (4th-most) and made 20 moves (5th-most).
Auction,Colton,1,Weekly high,"Scored 151.60 in Week 15, the team’s best output across all 18 weeks."
Auction,Colton,2,Weekly low,Bottomed out at 72.68 points in Week 12. It was the 5th-lowest team-week in the league.
Auction,Colton,3,Biggest win,The biggest win was a 47.20-point beating of McCade in Week 15 (151.60–104.40).
Auction,Colton,4,Worst loss,The worst loss was by 104.86 points to McCade in Week 8 (105.38–210.24).
Auction,Colton,5,Season streak,"Lost 5 straight from Week 6 through Week 10, the team’s longest streak of the season."
Auction,Colton,6,Rivalry,Has lost 4 straight head-to-head meetings against Shane; the latest was in Week 3 of 2025.
Auction,Colton,7,Career context,The 2025 regular-season win total ranked as the best across 5 recorded seasons in this draft format.
Auction,Colton,8,Lineup slot,"The WR2 slot produced 233.9 starter points, ranking 4th among the 12 teams in the league."
Auction,Colton,9,Draft outcome,Bucky Irving cost $41 but supplied 138.5 starter points across 10 starts and was last observed in Week 18.
Auction,Colton,10,Lineup management,"Converted 87.5% of the optimal lineup’s points, ranking 5th in the league; the worst start/sit miss was 38.6 points in Week 13."
Auction,Colton,11,Schedule luck,"The actual record finished about 0.2 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Colton,12,Roster activity,Used 17 different players (12th-most) and made 2 moves (12th-most).
Auction,Dallin,1,Weekly high,"Scored 165.52 in Week 8, the team’s best output across all 18 weeks."
Auction,Dallin,2,Weekly low,Bottomed out at 100.52 points in Week 10.
Auction,Dallin,3,Biggest win,The biggest win was a 57.92-point beating of Shane in Week 9 (157.22–99.30).
Auction,Dallin,4,Worst loss,The worst loss was by 36.28 points to Reyes in Week 10 (100.52–136.80).
Auction,Dallin,5,Season streak,"Lost 6 straight from Week 1 through Week 6, the team’s longest streak of the season."
Auction,Dallin,6,Rivalry,Has lost 3 straight head-to-head meetings against Carson; the latest was in Week 11 of 2025.
Auction,Dallin,7,Career context,The 2025 regular-season win total ranked as the worst across 2 recorded seasons in this draft format.
Auction,Dallin,8,Lineup slot,"The RB2 slot produced 267.7 starter points, ranking 1st among the 12 teams in the league."
Auction,Dallin,9,Draft outcome,Sam LaPorta cost $22 but supplied 106.9 starter points across 9 starts and was last observed in Week 12.
Auction,Dallin,10,Lineup management,"Converted 90.4% of the optimal lineup’s points, ranking 3rd in the league; the worst start/sit miss was 40.5 points in Week 5."
Auction,Dallin,11,Schedule luck,"The actual record finished about 3.8 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Dallin,12,Roster activity,Used 24 different players (9th-most) and made 9 moves (9th-most).
Auction,Easton,1,Weekly high,"Scored 154.36 in Week 12, the team’s best output across all 18 weeks."
Auction,Easton,2,Weekly low,Bottomed out at 60.08 points in Week 18. It was the 2nd-lowest team-week in the league.
Auction,Easton,3,Biggest win,The biggest win was a 30.82-point beating of Colton in Week 6 (138.18–107.36).
Auction,Easton,4,Worst loss,The worst loss was by 51.12 points to Tyler in Week 10 (71.72–122.84).
Auction,Easton,5,Season streak,"Won 3 straight from Week 5 through Week 7, the team’s longest streak of the season."
Auction,Easton,6,Rivalry,Has won 4 straight head-to-head meetings against Kyle; the latest was in Week 14 of 2025.
Auction,Easton,7,Career context,The 2025 regular-season win total ranked as the best across 4 recorded seasons in this draft format.
Auction,Easton,8,Lineup slot,"The RB2 slot produced 201.2 starter points, ranking 2nd among the 12 teams in the league."
Auction,Easton,9,Draft outcome,A.J. Brown cost $44 but supplied 220.3 starter points across 16 starts and was last observed in Week 18.
Auction,Easton,10,Lineup management,"Converted 85.6% of the optimal lineup’s points, ranking 8th in the league; the worst start/sit miss was 47.7 points in Week 4."
Auction,Easton,11,Schedule luck,"The actual record finished about 2.0 more wins than all-play performance projected, based on how the team scored against the full league each week."
Auction,Easton,12,Roster activity,Used 27 different players (7th-most) and made 11 moves (8th-most).
Auction,Kristin,1,Weekly high,"Scored 172.68 in Week 8, the team’s best output across all 18 weeks."
