auction_rank,player,team,position,auction_value,projected_points,starter_vorp,waiver_vorp,starter_baseline_points,waiver_baseline_points,model_position_rank,fantasypros_roster_rank,fantasypros_position_rank,composite_value_score,historical_slot_price,historical_position_budget,projected_starter_pool,projected_starter_role,fantasypros_injury_status,historical_seasons,model_note
1,Jahmyr Gibbs,DET,RB,66,372.75,175.3,264.33,197.45,108.42,1,1.0,1.0,1.0,66.54757901309486,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
2,Puka Nacua,LAR,WR,64,339.8,158.41000000000003,188.28,181.39,151.52,1,4.0,1.0,1.0,60.791250067690044,910,True,WR/TE Flex,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
3,Bijan Robinson,ATL,RB,63,369.94,172.49,261.52,197.45,108.42,2,2.0,2.0,0.9831891922988416,63.89613278471553,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
4,Ja'Marr Chase,CIN,WR,61,335.66,154.27000000000004,184.14000000000001,181.39,151.52,2,5.0,2.0,0.9798579678003794,58.16196817954809,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
5,Josh Allen,BUF,QB,56,415.86,68.92000000000002,127.99000000000001,346.94,287.87,1,6.0,1.0,1.0,57.38307652666542,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
6,Jaxon Smith-Njigba,SEA,WR,56,324.48,143.09000000000003,172.96,181.39,151.52,3,8.0,3.0,0.9443590069864816,54.148544222839334,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
7,Christian McCaffrey,SF,RB,56,334.76,137.31,226.33999999999997,197.45,108.42,3,3.0,3.0,0.9167197207946614,56.71624412710248,799,True,RB,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
8,Amon-Ra St. Brown,DET,WR,53,319.87,138.48000000000002,168.35,181.39,151.52,4,9.0,4.0,0.9231917252913053,51.12777719818546,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
9,Trey McBride,ARI,TE,51,254.41,87.25999999999999,105.74000000000001,167.15,148.67,1,21.0,1.0,1.0,52.066923945746424,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
10,Jonathan Taylor,IND,RB,50,310.51,113.06,202.08999999999997,197.45,108.42,4,7.0,4.0,0.8670179105622459,51.14676379668399,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
11,Drake London,ATL,WR,47,287.06,105.67000000000002,135.54,181.39,151.52,5,15.0,5.0,0.8405094738628032,47.45049544222927,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
12,De'Von Achane,MIA,RB,44,292.39,94.94,183.96999999999997,197.45,108.42,5,10.0,5.0,0.8267201043184781,45.51138863475263,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
13,Rashee Rice,KC,WR,44,274.16,92.77000000000004,122.64000000000001,181.39,151.52,6,20.0,6.0,0.8012585361715536,45.01825711749774,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
14,Brock Bowers,LV,TE,42,243.89,76.73999999999998,95.22,167.15,148.67,2,29.0,2.0,0.9261622870343632,42.35402914038386,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
15,Lamar Jackson,BAL,QB,42,371.45,24.50999999999999,83.57999999999998,346.94,287.87,2,26.0,2.0,0.8278983106989068,45.26594201743237,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
16,CeeDee Lamb,DAL,WR,42,272.74,91.35000000000002,121.22,181.39,151.52,7,23.0,7.0,0.7870498627547217,41.86638233985539,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
17,Chase Brown,CIN,RB,40,278.84,81.38999999999999,170.41999999999996,197.45,108.42,6,11.0,6.0,0.793433113446345,41.22003907463407,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
18,Justin Jefferson,MIN,WR,40,272.54,91.15000000000003,121.02000000000001,181.39,151.52,8,24.0,8.0,0.7755024752625232,39.69366855899987,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
19,Ashton Jeanty,LV,RB,39,276.28,78.82999999999998,167.85999999999996,197.45,108.42,7,12.0,7.0,0.7770058295620157,40.05702902707097,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
20,Drake Maye,NE,QB,37,368.58,21.639999999999986,80.70999999999998,346.94,287.87,3,30.0,3.0,0.7933918516064921,39.090555290271695,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
21,Chris Olave,NO,WR,37,259.54,78.15000000000003,108.02000000000001,181.39,151.52,9,32.0,9.0,0.7360333993807299,37.94506989282698,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
22,Derrick Henry,BAL,RB,36,273.69,76.24000000000001,165.26999999999998,197.45,108.42,8,13.0,8.0,0.760532522819667,35.94962886927632,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
23,Joe Burrow,CIN,QB,35,366.06,19.120000000000005,78.19,346.94,287.87,4,33.0,4.0,0.76004471679364,37.16814276993138,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
24,A.J. Brown,NE,WR,35,255.47,74.08000000000001,103.94999999999999,181.39,151.52,10,35.0,10.0,0.7160440639144898,35.48981740027533,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
25,James Cook III,BUF,RB,33,270.58,73.13,162.15999999999997,197.45,108.42,9,14.0,9.0,0.743261486538314,33.75800976248278,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
26,Colston Loveland,CHI,TE,32,211.65,44.5,62.98000000000002,167.15,148.67,3,60.0,3.0,0.768697660987583,33.94663226421468,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
27,Saquon Barkley,PHI,RB,32,264.45,67.0,156.02999999999997,197.45,108.42,10,16.0,10.0,0.7213574825496663,33.3110528491252,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
28,George Pickens,DAL,WR,32,252.15,70.76000000000002,100.63,181.39,151.52,11,39.0,11.0,0.6976907648773275,33.05092121801968,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
29,Kenneth Walker III,KC,RB,31,257.85,60.400000000000034,149.43,197.45,108.42,11,17.0,11.0,0.6987324537853801,32.299215708302526,799,True,RB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
30,Nico Collins,HOU,WR,30,248.95,67.56,97.42999999999998,181.39,151.52,12,41.0,12.0,0.6795992316688176,30.460385767562936,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
31,Jalen Hurts,PHI,QB,29,361.74,14.800000000000011,73.87,346.94,287.87,5,36.0,5.0,0.7207353428287512,30.905073762389023,331,True,QB,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
32,Jeremiyah Love,ARI,RB,28,255.3,57.85000000000002,146.88,197.45,108.42,12,18.0,12.0,0.682320510853724,28.919658944809637,799,True,RB,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
